,Average Score,Standard Deviation
794,1675.1577,870.9565
795,1692.7365,879.25305
796,1679.5114,871.5115
797,1683.7825,876.8605
798,1670.2722,867.88403
799,1678.3319,871.3713
800,1678.1315,866.0039
801,1684.9081,866.28876
802,1685.3292,870.3452
803,1695.1495,882.85547
804,1674.9832,863.0046
805,1670.9053,875.7377
806,1686.5051,882.97546
807,1669.3192,867.4731
808,1686.619,875.97504
809,1692.617,877.5389
810,1673.1011,868.1686
811,1688.7142,883.11523
812,1681.9207,873.4721
813,1688.0719,880.0274
814,1695.0438,883.56104
815,1694.7126,875.6289
816,1671.5131,868.8427
817,1688.7462,879.98706
818,1678.0952,871.7068
819,1684.1251,877.009
820,1686.9302,876.51587
821,1662.9747,860.0137
822,1695.0762,881.34314
823,1689.9585,881.7303
824,1674.519,874.6421
825,1670.5369,875.5676
826,1687.0336,877.4066
827,1674.64,874.0932
828,1685.7006,869.8945
829,1691.3401,878.9231
830,1669.0769,872.6592
831,1673.6896,866.8617
832,1681.0531,875.5241
833,1696.2025,879.15454
834,1689.4166,881.58826
835,1692.4006,879.4906
836,1694.6941,881.8732
837,1681.2896,881.28296
838,1684.2557,875.06836
839,1684.768,878.6018
840,1693.0482,883.35785
841,1677.0167,876.6177
842,1684.4302,877.24963
843,1685.8823,884.9005
844,1669.4727,874.131
845,1682.9814,877.0926
846,1673.7561,880.82086
847,1692.1814,884.73883
848,1690.1124,880.7883
849,1686.014,876.79407
850,1674.859,864.95026
851,1683.7932,872.61884
852,1699.7614,880.5624
853,1681.6006,874.7658
854,1681.4326,873.40735
855,1687.1644,882.0221
856,1697.318,883.77234
857,1677.4062,876.43854
858,1679.2582,878.57416
859,1691.526,880.01074
860,1668.2689,867.1966
861,1673.3705,870.00354
862,1677.8739,863.2423
863,1693.2998,881.29395
864,1692.4923,881.69855
865,1668.5564,865.6498
866,1675.927,873.3579
867,1690.8827,876.8638
868,1685.5455,870.1186
869,1688.3374,878.1608
870,1672.8127,871.6721
871,1693.3103,878.423
872,1669.6915,873.95715
873,1672.671,871.2415
874,1693.0726,875.914
875,1685.8208,874.6499
876,1693.4362,879.65967
877,1680.705,875.80005
878,1692.0831,877.61395
879,1691.2883,877.16125
880,1680.7233,876.329
881,1679.388,876.491
882,1683.0264,876.4751
883,1675.72,873.1598
884,1691.397,880.76666
885,1685.3427,873.699
886,1683.191,875.59906
887,1685.2628,874.8032
888,1686.758,877.2245
889,1683.8251,880.8969
890,1660.8314,861.04944
891,1688.1285,876.6184
892,1689.6947,878.32947
893,1681.9213,869.26904
894,1691.1552,879.0461
895,1677.3153,873.81555
896,1692.4368,881.65106
897,1683.596,874.1212
898,1694.2833,884.0795
899,1679.1437,872.70636
900,1681.6345,874.2473
901,1682.8425,875.2044
902,1686.2122,876.721
903,1690.9353,867.18243
904,1688.8529,879.77136
905,1694.1788,877.7916
906,1671.743,871.8989
907,1683.8385,872.78564
908,1687.3241,883.52856
909,1687.5806,878.1351
910,1680.8737,877.19635
911,1692.5413,878.2878
912,1687.3643,876.9211
913,1669.0485,864.0851
914,1684.7551,874.14075
915,1674.8838,868.86993
916,1678.4626,871.6425
917,1678.2284,872.7957
918,1699.0018,874.3739
919,1680.6759,874.45337
920,1684.7921,878.9091
921,1681.3538,878.20984
922,1691.7225,877.5388
923,1680.4359,875.2968
924,1699.2684,877.2263
925,1689.6128,876.4234
926,1677.2473,874.0014
927,1675.5651,875.2508
928,1680.586,882.4307
